"Year","Citations","Title","DOI","OAStatus","OAUrl","PrimaryPDF","Landing","Authors","Topic","Volume","Issue","FirstPage","LastPage"
"2024","1","Fast FPGA Prototyping to Explore and Compare New SPWM Strategies","https://doi.org/10.1109/tcsi.2023.3347447","green","http://hdl.handle.net/10396/27282",,"https://doi.org/10.1109/tcsi.2023.3347447","Sergio R. Geninatti; Manuel Ortíz-López; Francisco J. Quiles-Latorre; Tomás Morales-Leal; Andrés Gersnoviez","Electromagnetic Compatibility and Noise Suppression","71","3","1208","1221"
"2024","1","Special Transfer Section for Selective Rejecting and Amplification of Bands in Equalization","https://doi.org/10.1109/tcsi.2024.3408691","green","https://dspace.vut.cz/bitstreams/9680745d-5120-44b4-a9ef-8c52de8c533c/download",,"https://doi.org/10.1109/tcsi.2024.3408691","Roman Šotner; Marek Svoboda; Dmitrii Semenov; Ladislav Polák; Jan Jeřábek","Wireless Power Transfer Systems","71","9","3986","3998"
"2025","1","A Parallel JPEG Pleno Baseline Block-Based Profile Light Field Codec Using OpenMP","https://doi.org/10.1109/tcsi.2025.3613249","hybrid","https://doi.org/10.1109/tcsi.2025.3613249",,"https://doi.org/10.1109/tcsi.2025.3613249","André Filipe da Silva Fernandes; Ismael Seidel; Leonardo de Sousa Marques; Arthur Scarpatto Rodrigues; José Luís Güntzel","Advanced Vision and Imaging","73","3","1565","1578"
"2025","1","Proportional-Integral and Nonlinear Cubic Control to Enhance Small-Signal and Transient Stability of EV Charging Station and DC Microgrid","https://doi.org/10.1109/tcsi.2025.3552636","hybrid","https://doi.org/10.1109/tcsi.2025.3552636",,"https://doi.org/10.1109/tcsi.2025.3552636","Xinyi Zhang; Bernardo Severino; Kai Strunz","Power Systems and Renewable Energy","72","7","3669","3682"
"2024","1","Efficient Adaptive Multi-Level Privilege Partitioning With RTrustSoC","https://doi.org/10.1109/tcsi.2024.3413364","green","https://hal.science/hal-04630451v1/file/Milan_Efficient_24.pdf",,"https://doi.org/10.1109/tcsi.2024.3413364","Raphaële Milan; Lilian Bossuet; Loïc Lagadec; Carlos Andres Lara-Nino; Brice Colombier","Interconnection Networks and Systems","72","2","497","509"
"2025","1","Noise Modulation of a Bandgap Reference by Using a Single Resistor","https://doi.org/10.1109/tcsi.2025.3620105","hybrid","https://doi.org/10.1109/tcsi.2025.3620105",,"https://doi.org/10.1109/tcsi.2025.3620105","Accel Abarca; Ricardo Silva; Thiago Darós Fernandes; Rodrigo Wrege; C. N. Marques","Sensor Technology and Measurement Systems","73","3","1528","1538"
"2024","1","On the Fulfilment of the Gain and Matching Specifications in the Design of a Single-Stage High-Frequency Amplifier","https://doi.org/10.1109/tcsi.2024.3478806","hybrid","https://doi.org/10.1109/tcsi.2024.3478806",,"https://doi.org/10.1109/tcsi.2024.3478806","Antonio Serino; Walter Ciccognani; Sergio Colangeli; Patrick E. Longhi; Ernesto Limiti","Radio Frequency Integrated Circuit Design","72","5","2001","2014"
"2024","1","A Combined Analytical and Simulation-Based Methodology for Quantifying the Noise-Power-Area Trade-Offs in Biomedical Amplifiers","https://doi.org/10.1109/tcsi.2024.3414649","green","http://hdl.handle.net/2078.1/289540",,"https://doi.org/10.1109/tcsi.2024.3414649","Sylvain Favresse; David Bol; Denis Flandre","Analog and Mixed-Signal Circuit Design","71","12","6177","6189"
"2025","1","Maestro: A 302 GFLOPS/W and 19.8GFLOPS RISC-V Vector-Tensor Architecture for Wearable Ultrasound Edge Computing","https://doi.org/10.1109/tcsi.2025.3580939","green","https://ieeexplore.ieee.org/document/11053244",,"https://doi.org/10.1109/tcsi.2025.3580939","M. Sinigaglia; Amirhossein Kiamarzi; Marco Bertuletti; Luigi Ghionda; Mattia Orlandi","Energy Harvesting in Wireless Networks","72","11","6665","6678"
"2025","1","CMOS Platform for Neurochemical Detection Using 32 Graphene FETs Array at 16 kS/s per Channel","https://doi.org/10.1109/tcsi.2025.3639668","hybrid","https://doi.org/10.1109/tcsi.2025.3639668",,"https://doi.org/10.1109/tcsi.2025.3639668","Rodrigo Wrege; Mafalda Abrantes; Thiago Darós Fernandes; Miguel Borges; Helder Henrique Avelar","Graphene research and applications","73","3","1606","1618"
"2024","1","Incoming Editorial","https://doi.org/10.1109/tcsi.2023.3343530","hybrid","https://ieeexplore.ieee.org/ielx7/8919/10391078/10391080.pdf","https://ieeexplore.ieee.org/ielx7/8919/10391078/10391080.pdf","http://dx.doi.org/10.1109/tcsi.2023.3343530","José M. de la Rosa","Advanced Research in Systems and Signal Processing","71","1","1","4"
"2024","1","Table of Contents","https://doi.org/10.1109/tcsi.2024.3399457","bronze","https://ieeexplore.ieee.org/ielx7/8919/10541300/10541108.pdf","https://ieeexplore.ieee.org/ielx7/8919/10541300/10541108.pdf","https://doi.org/10.1109/tcsi.2024.3399457","","Diverse Scientific and Economic Studies","71","6","C1","C4"
"2025","1","The Impact of Distorted Signals on the Resistance of the Current Path in a Mechanical Connector","https://doi.org/10.1109/tcsi.2025.3552953","hybrid","https://doi.org/10.1109/tcsi.2025.3552953",,"https://doi.org/10.1109/tcsi.2025.3552953","Łukasz Drużyński; Grzegorz Dombek; Andrzej Książkiewicz; Krzysztof Dziarski","Electrical Contact Performance and Analysis","72","10","5970","5983"
"2025","1","EEsizer: LLM-Based AI Agent for Sizing of Analog and Mixed Signal Circuit","https://doi.org/10.1109/tcsi.2025.3646359","green","https://arxiv.org/pdf/2509.25510",,"https://doi.org/10.1109/tcsi.2025.3646359","C. Liu; Danial Chitnis","VLSI and FPGA Design Techniques","73","6","3825","3834"
"2025","1","Event-Driven Vision Sensor With In-Pixel Spatial Contrast Computation Capabilities and On-Chip AER Sequencer","https://doi.org/10.1109/tcsi.2025.3539891","hybrid","https://doi.org/10.1109/tcsi.2025.3539891",,"https://doi.org/10.1109/tcsi.2025.3539891","Rafael de la Rosa-Vidal; Juan A. Leñero‐Bardallo; Rubén Gómez‐Merchán; Á. Rodríguez‐Vázquez","CCD and CMOS Imaging Sensors","72","10","5436","5446"
"2025","1","A 0.4–0.9 V Supply Voltage-Flexible Third-Order Passive ΔΣ Modulator With Switched-Capacitor Loop Filter Achieving 71.9 dB Peak SNDR at 4 MHz Bandwidth","https://doi.org/10.1109/tcsi.2025.3536610","green","https://ris.utwente.nl/ws/files/482584366/A_0.40.9_V_Supply_Voltage-Flexible_Third-Order_Passive_Modulator_With_Switched-Capacitor_Loop_Filter_Achieving_71.9_dB_Peak_SNDR_at_4_MHz_Bandwidth.pdf",,"https://doi.org/10.1109/tcsi.2025.3536610","Jeroen Ponte; Harijot Singh Bindra; Bram Nauta","Analog and Mixed-Signal Circuit Design","72","10","5365","5377"
"2025","1","Design and Analysis of a 28 GHz Bandwidth DC Coupled Active Balun With Phase-Amplitude Compensation in 40-nm CMOS","https://doi.org/10.1109/tcsi.2025.3552956","green","https://lirias.kuleuven.be/handle/20.500.12942/765443",,"https://doi.org/10.1109/tcsi.2025.3552956","Berke Gungor; Patrick Reynaert","Radio Frequency Integrated Circuit Design","72","9","4420","4430"
"2025","1","Low-Power Vision Transformer Accelerator With Hardware-Aware Pruning and Optimized Dataflow","https://doi.org/10.1109/tcsi.2025.3585054","green","https://arxiv.org/pdf/2510.14393",,"https://doi.org/10.1109/tcsi.2025.3585054","C. S. Hsiung; Tian‐Sheuan Chang","CCD and CMOS Imaging Sensors","73","1","360","369"
"2025","1","Graph-Oriented Layout Design for Field-Coupled Nanocomputing via Parallel Multi-Objective Search Space Exploration","https://doi.org/10.1109/tcsi.2025.3614709","hybrid","https://doi.org/10.1109/tcsi.2025.3614709",,"https://doi.org/10.1109/tcsi.2025.3614709","Simon Hofmann; Marcel Walter; Robert Wille","Modular Robots and Swarm Intelligence","73","3","1579","1592"
"2024","1","A Control-Bounded Quadrature Leapfrog ADC","https://doi.org/10.1109/tcsi.2024.3366330","green","http://hdl.handle.net/10261/385794",,"https://doi.org/10.1109/tcsi.2024.3366330","Hampus Malmberg; Fredrik Feyling; José M. de la Rosa","Analog and Mixed-Signal Circuit Design","71","6","2483","2496"
"2025","1","A 4-Element Passive-Beamforming CT- ΔΣ ADC for Spatial Selectivity in Automotive Radar","https://doi.org/10.1109/tcsi.2025.3561950","green","https://pure.tue.nl/ws/files/366051389/A_4-Element_Passive-Beamforming_CT-_ADC_for_Spatial_Selectivity_in_Automotive_Radar.pdf",,"https://doi.org/10.1109/tcsi.2025.3561950","R. Schalk; Zitao Zhu; M. Neofytou; Patrick van Mourik; Qilong Liu","Analog and Mixed-Signal Circuit Design","72","9","4431","4441"
