id,title,authors,year,venue,doi,source_url,source_type,digital_fpga_relevance,download_status,local_pdf,local_note,venue_folder
paper_05,Energy-Efficient Spintronic-Based Neuromorphic Computing System Using Current Mode Track and Termination Circuit,Pegah Shafaghi; Mehdi Dolatshahi; Hooman Farkhani,2023,TCAD,https://doi.org/10.1109/tcad.2023.3238879,https://pure.au.dk/ws/files/418783639/final_version-r0f63te8t0691ypmps50eeb0to9hy6e3_002_.pdf,direct_pdf,Advanced Memory and Neural Computing; Ferroelectric and Negative Capacitance Devices; Neural Networks and Reservoir Computing,downloaded_pdf,05_TCAD/pdfs/2023_TCAD_energy_efficient_spintronic_based_neuromorphic_computing_system_using_current_mo.pdf,05_TCAD/notes/2023_TCAD_energy_efficient_spintronic_based_neuromorphic_computing_system_using_current_mo.md,05_TCAD
paper_06,Bank on Compute-Near-Memory: Design Space Exploration of Processing-Near-Bank Architectures,Rafael Medina; Giovanni Ansaloni; Marina Zapater; Alexandre Levisse; Saeideh Alinezhad Chamazcoti; Timon Evenblij,2024,TCAD,https://doi.org/10.1109/tcad.2024.3442989,https://infoscience.epfl.ch/server/api/core/bitstreams/88a6c234-d588-4567-8883-2d4aa0889c12/content,direct_pdf,"digital IC / architecture, memory / CIM",downloaded_pdf,05_TCAD/pdfs/2024_TCAD_bank_on_compute_near_memory_design_space_exploration_of_processing_near_bank_arc.pdf,05_TCAD/notes/2024_TCAD_bank_on_compute_near_memory_design_space_exploration_of_processing_near_bank_arc.md,05_TCAD
paper_07,CRAFT: Criticality-Aware Fault-Tolerance Enhancement Techniques for Emerging Memories-Based Deep Neural Networks,Thai-Hoang Nguyen; Muhammad Imran; Jaehyuk Choi; Joon-Sung Yang,2023,TCAD,https://doi.org/10.1109/tcad.2023.3240659,https://arxiv.org/pdf/2302.03862,direct_pdf,cryptographic hardware,downloaded_pdf,05_TCAD/pdfs/2023_TCAD_craft_criticality_aware_fault_tolerance_enhancement_techniques_for_emerging_memo.pdf,05_TCAD/notes/2023_TCAD_craft_criticality_aware_fault_tolerance_enhancement_techniques_for_emerging_memo.md,05_TCAD
paper_08,A Highly Reliable Dual-Mode RRAM PUF With Key Concealment Scheme,Jiang Li; Yijun Cui; Chongyan Gu; Chenghua Wang; Weiqiang Liu; Shahar Kvatinsky,2025,TCAD,https://doi.org/10.1109/tcad.2025.3536376,https://pureadmin.qub.ac.uk/ws/files/636894778/A_Highly_Reliable_Dual-Mode_RRAM_PUF_With_Key_Concealment_Scheme.pdf,direct_pdf,memory / CIM,downloaded_pdf,05_TCAD/pdfs/2025_TCAD_a_highly_reliable_dual_mode_rram_puf_with_key_concealment_scheme.pdf,05_TCAD/notes/2025_TCAD_a_highly_reliable_dual_mode_rram_puf_with_key_concealment_scheme.md,05_TCAD
paper_09,When Random Is Bad: Selective CRPs for Protecting PUFs Against Modeling Attacks,Mieszko Ferens; Edlira Dushku; Sokol Kosta,2024,TCAD,https://doi.org/10.1109/tcad.2024.3506217,https://vbn.aau.dk/ws/files/755415258/acceptedManuscript.pdf,direct_pdf,Physical Unclonable Functions (PUFs) and Hardware Security; Advanced Malware Detection Techniques; Adversarial Robustness in Machine Learning,downloaded_pdf,05_TCAD/pdfs/2024_TCAD_when_random_is_bad_selective_crps_for_protecting_pufs_against_modeling_attacks.pdf,05_TCAD/notes/2024_TCAD_when_random_is_bad_selective_crps_for_protecting_pufs_against_modeling_attacks.md,05_TCAD
paper_10,MAFIA: Protecting the Microarchitecture of Embedded Systems Against Fault Injection Attacks,Thomas Chamelot; Damien Couroussé; Karine Heydemann,2023,TCAD,https://doi.org/10.1109/tcad.2023.3276507,https://arxiv.org/pdf/2309.02255,direct_pdf,"digital IC / architecture, cryptographic hardware",downloaded_pdf,05_TCAD/pdfs/2023_TCAD_mafia_protecting_the_microarchitecture_of_embedded_systems_against_fault_injecti.pdf,05_TCAD/notes/2023_TCAD_mafia_protecting_the_microarchitecture_of_embedded_systems_against_fault_injecti.md,05_TCAD
paper_01,BASALISC: Programmable Hardware Accelerator for BGV Fully Homomorphic Encryption,Robin Geelen; Michiel Van Beirendonck; Hilder V. L. Pereira; Brian Huffman; Tynan McAuley; Ben Selfridge,2023,TCHES/CHES,https://doi.org/10.46586/tches.v2023.i4.32-57,https://tches.iacr.org/index.php/TCHES/article/download/11157/10596,direct_pdf,digital IC / architecture,downloaded_pdf,06_TCHES_CHES/pdfs/2023_TCHES_CHES_basalisc_programmable_hardware_accelerator_for_bgv_fully_homomorphic_encryption.pdf,06_TCHES_CHES/notes/2023_TCHES_CHES_basalisc_programmable_hardware_accelerator_for_bgv_fully_homomorphic_encryption.md,06_TCHES_CHES
paper_02,A Highly-efficient Lattice-based Post-Quantum Cryptography Processor for IoT Applications,Zewen Ye; Ruibing Song; Hao Zhang; Donglong Chen; Ray Chak-Chung Cheung; Kejie Huang,2024,TCHES/CHES,https://doi.org/10.46586/tches.v2024.i2.130-153,https://tches.iacr.org/index.php/TCHES/article/download/11423/10929,direct_pdf,digital IC / architecture,downloaded_pdf,06_TCHES_CHES/pdfs/2024_TCHES_CHES_a_highly_efficient_lattice_based_post_quantum_cryptography_processor_for_iot_app.pdf,06_TCHES_CHES/notes/2024_TCHES_CHES_a_highly_efficient_lattice_based_post_quantum_cryptography_processor_for_iot_app.md,06_TCHES_CHES
paper_03,Pushing the Limits of Generic Side-Channel Attacks on LWE-based KEMs - Parallel PC Oracle Attacks on Kyber KEM and Beyond,Gokulnath Rajendran; Prasanna Ravi; Jan-Pieter D’Anvers; Shivam Bhasin; Anupam Chattopadhyay,2023,TCHES/CHES,https://doi.org/10.46586/tches.v2023.i2.418-446,https://tches.iacr.org/index.php/TCHES/article/download/10289/9738,direct_pdf,cryptographic hardware,downloaded_pdf,06_TCHES_CHES/pdfs/2023_TCHES_CHES_pushing_the_limits_of_generic_side_channel_attacks_on_lwe_based_kems_parallel_pc.pdf,06_TCHES_CHES/notes/2023_TCHES_CHES_pushing_the_limits_of_generic_side_channel_attacks_on_lwe_based_kems_parallel_pc.md,06_TCHES_CHES
paper_04,Exploiting Intermediate Value Leakage in Dilithium: A Template-Based Approach,Alexandre Berzati; Andersson Calle Viera; Maya Chartouny; Steven Madec; Damien Vergnaud; David Vigilant,2023,TCHES/CHES,https://doi.org/10.46586/tches.v2023.i4.188-210,https://tches.iacr.org/index.php/TCHES/article/download/11163/10602,direct_pdf,cryptographic hardware,downloaded_pdf,06_TCHES_CHES/pdfs/2023_TCHES_CHES_exploiting_intermediate_value_leakage_in_dilithium_a_template_based_approach.pdf,06_TCHES_CHES/notes/2023_TCHES_CHES_exploiting_intermediate_value_leakage_in_dilithium_a_template_based_approach.md,06_TCHES_CHES
paper_05,HAETAE: Shorter Lattice-Based Fiat-Shamir Signatures,Jung Hee Cheon; Hyeongmin Choe; Julien Devevey; Tim Güneysu; Dongyeon Hong; Markus Krausz,2024,TCHES/CHES,https://doi.org/10.46586/tches.v2024.i3.25-75,https://tches.iacr.org/index.php/TCHES/article/download/11669/11189,direct_pdf,Cryptography and Data Security; Cryptographic Implementations and Security; Security and Verification in Computing,downloaded_pdf,06_TCHES_CHES/pdfs/2024_TCHES_CHES_haetae_shorter_lattice_based_fiat_shamir_signatures.pdf,06_TCHES_CHES/notes/2024_TCHES_CHES_haetae_shorter_lattice_based_fiat_shamir_signatures.md,06_TCHES_CHES
paper_06,Protecting Dilithium against Leakage,Melissa Azouaoui; Olivier Bronchain; Gaëtan Cassiers; Clément Hoffmann; Yulia Kuzovkova; Joost Renes,2023,TCHES/CHES,https://doi.org/10.46586/tches.v2023.i4.58-79,https://tches.iacr.org/index.php/TCHES/article/download/11158/10597,direct_pdf,cryptographic hardware,downloaded_pdf,06_TCHES_CHES/pdfs/2023_TCHES_CHES_protecting_dilithium_against_leakage.pdf,06_TCHES_CHES/notes/2023_TCHES_CHES_protecting_dilithium_against_leakage.md,06_TCHES_CHES
paper_07,Deep Learning Side-Channel Collision Attack,Marvin Staib; Amir Moradi,2023,TCHES/CHES,https://doi.org/10.46586/tches.v2023.i3.422-444,https://tches.iacr.org/index.php/TCHES/article/download/10969/10276,direct_pdf,cryptographic hardware,downloaded_pdf,06_TCHES_CHES/pdfs/2023_TCHES_CHES_deep_learning_side_channel_collision_attack.pdf,06_TCHES_CHES/notes/2023_TCHES_CHES_deep_learning_side_channel_collision_attack.md,06_TCHES_CHES
paper_08,RDS: FPGA Routing Delay Sensors for Effective Remote Power Analysis Attacks,David Spielmann; Ognjen Glamočanin; Mirjana Stojilović,2023,TCHES/CHES,https://doi.org/10.46586/tches.v2023.i2.543-567,https://tches.iacr.org/index.php/TCHES/article/download/10293/9743,direct_pdf,"FPGA implementation, EDA / design automation",downloaded_pdf,06_TCHES_CHES/pdfs/2023_TCHES_CHES_rds_fpga_routing_delay_sensors_for_effective_remote_power_analysis_attacks.pdf,06_TCHES_CHES/notes/2023_TCHES_CHES_rds_fpga_routing_delay_sensors_for_effective_remote_power_analysis_attacks.md,06_TCHES_CHES
paper_09,Fiddling the Twiddle Constants - Fault Injection Analysis of the Number Theoretic Transform,Prasanna Ravi; Bolin Yang; Shivam Bhasin; Fan Zhang; Anupam Chattopadhyay,2023,TCHES/CHES,https://doi.org/10.46586/tches.v2023.i2.447-481,https://tches.iacr.org/index.php/TCHES/article/download/10290/9739,direct_pdf,cryptographic hardware,downloaded_pdf,06_TCHES_CHES/pdfs/2023_TCHES_CHES_fiddling_the_twiddle_constants_fault_injection_analysis_of_the_number_theoretic.pdf,06_TCHES_CHES/notes/2023_TCHES_CHES_fiddling_the_twiddle_constants_fault_injection_analysis_of_the_number_theoretic.md,06_TCHES_CHES
paper_10,Conditional Variational AutoEncoder based on Stochastic Attacks,Gabriel Zaid; Lilian Bossuet; Mathieu Carbone; Amaury Habrard; Alexandre Venelli,2023,TCHES/CHES,https://doi.org/10.46586/tches.v2023.i2.310-357,https://tches.iacr.org/index.php/TCHES/article/download/10286/9735,direct_pdf,Cryptographic Implementations and Security; Chaos-based Image/Signal Encryption; Physical Unclonable Functions (PUFs) and Hardware Security,downloaded_pdf,06_TCHES_CHES/pdfs/2023_TCHES_CHES_conditional_variational_autoencoder_based_on_stochastic_attacks.pdf,06_TCHES_CHES/notes/2023_TCHES_CHES_conditional_variational_autoencoder_based_on_stochastic_attacks.md,06_TCHES_CHES
