"Year","Citations","Title","DOI","OAStatus","OAUrl","PrimaryPDF","Landing","Authors","Topic","Volume","Issue","FirstPage","LastPage"
"2025","1","SPECTRUM1k – 75 μm Pixels Pitch IC With In-Pixel Histogramming for X-Ray Color Imaging","https://doi.org/10.1109/tcsii.2025.3579856","hybrid","https://doi.org/10.1109/tcsii.2025.3579856",,"https://doi.org/10.1109/tcsii.2025.3579856","Piotr Kmon; R. Kłeczek; R. Szczygieł; G. J. Wegrzyn","Advanced X-ray and CT Imaging","72","8","1003","1007"
"2024","1","UFERI—Ultra-Fast Energy Resolved Imager for Next Generation Synchrotron Experiments","https://doi.org/10.1109/tcsii.2024.3503363","hybrid","https://doi.org/10.1109/tcsii.2024.3503363",,"https://doi.org/10.1109/tcsii.2024.3503363","M. Andrä; A. Dawiec; R. Kłeczek; Piotr Kmon; Claude Menneglier","Advanced X-ray Imaging Techniques","72","1","108","112"
"2025","1","LLC Resonant Converter With Reconfigurable Secondary-Side for Output Voltage Regulation","https://doi.org/10.1109/tcsii.2025.3625415","green","https://pure.tue.nl/ws/files/380687834/LLC_Resonant_Converter_With_Reconfigurable_Secondary-Side_for_Output_Voltage_Regulation.pdf",,"https://doi.org/10.1109/tcsii.2025.3625415","Samuel S. Queiroz; Levy F. Costa","Advanced DC-DC Converters","72","12","2047","2051"
"2025","1","Physics-Informed Surrogate Neural Network for Optimizing Diode-Based Interfaces in Leadless Pacemaker Energy Harvesting","https://doi.org/10.1109/tcsii.2025.3641701","green","https://vbn.aau.dk/ws/files/814297170/Accepted_Author_Manuscript.pdf",,"https://doi.org/10.1109/tcsii.2025.3641701","Qirui Hua; Majid Khazaee; Ali Asghar Enkeshafi; Ming Shen; Sam Riahi","Innovative Energy Harvesting Technologies","73","2","223","227"
"2024","1","A Generalized Harmonic Injection Analysis Aimed at Improving Power Transfer","https://doi.org/10.1109/tcsii.2024.3386119","green","http://doi.org/10.1109/TCSII.2024.3386119",,"https://doi.org/10.1109/tcsii.2024.3386119","Álvaro A. Volpato; Luís Alberto; Ricardo Q. Machado","Advanced Battery Technologies Research","71","5","2524","2528"
"2025","1","Smart Watchdog for RISC-V: A Novel Spiking Neural Network Approach to Fault Detection","https://doi.org/10.1109/tcsii.2025.3583042","green","https://pure.ulster.ac.uk/en/publications/ef187a95-d4fc-410b-8298-5a6268b1d48a",,"https://doi.org/10.1109/tcsii.2025.3583042","David Simpson; Jim Harkin; Malachy McElholm; Liam McDaid","Advanced Memory and Neural Computing","72","12","1877","1881"
"2025","1","A Bit-Level Double Counter Enabling Power-Efficient High-Bandwidth VCO-ADCs","https://doi.org/10.1109/tcsii.2025.3587495","hybrid","https://doi.org/10.1109/tcsii.2025.3587495",,"https://doi.org/10.1109/tcsii.2025.3587495","Simon Ooghe; Brendan Saux; Tobias Cromheecke; Johan Raman; Pieter Rombouts","Analog and Mixed-Signal Circuit Design","72","9","1133","1137"
"2024","1","Model-Agnostic Semantics in Shipboard Systems Against Data Availability Attacks","https://doi.org/10.1109/tcsii.2024.3382645","green","https://vbn.aau.dk/ws/files/690135938/FINAL_VERSION_TCAS.pdf",,"https://doi.org/10.1109/tcsii.2024.3382645","Kirti Gupta; Subham Sahoo; Bijaya Ketan Panigrahi","Risk and Safety Analysis",,,"1","1"
"2024","1","TNNGen: Automated Design of Neuromorphic Sensory Processing Units for Time-Series Clustering","https://doi.org/10.1109/tcsii.2024.3390002","green","https://arxiv.org/pdf/2412.17977",,"https://doi.org/10.1109/tcsii.2024.3390002","Prabhu Vellaisamy; Harideep Nair; Vamsikrishna Ratnakaram; Dhruv Gupta; John Paul Shen","Neural Networks and Applications","71","5","2519","2523"
"2024","0","Table of Contents","https://doi.org/10.1109/tcsii.2024.3398391","bronze","https://ieeexplore.ieee.org/ielx7/8920/10537170/10537234.pdf","https://ieeexplore.ieee.org/ielx7/8920/10537170/10537234.pdf","https://doi.org/10.1109/tcsii.2024.3398391","","Diverse Scientific and Economic Studies","71","5","C1","C4"
"2025","0","A Lightweight and Hardware-Efficient NTT FPGA Accelerator for FHE Applications","https://doi.org/10.1109/tcsii.2025.3633181","green","https://pureadmin.qub.ac.uk/ws/files/660584923/Compact_FHE_TCAS_II_CameraReady.pdf",,"https://doi.org/10.1109/tcsii.2025.3633181","Moonis Amir Zaman; Muhammad Bilal Khan; Waqar Ahmad; Ayesha Khalid; Máire O׳Neill","Cryptography and Residue Arithmetic","73","1","78","82"
"2024","0","Design and Evaluation of a 2Mbps SEC Transceiver for Automotive Networks","https://doi.org/10.1109/tcsii.2024.3356066","green","https://boa.unimib.it/bitstream/10281/458374/1/DAniello-2024-IEEE%20Trans%20Circ%20Sys-AAM.pdf",,"http://dx.doi.org/10.1109/tcsii.2024.3356066","Federico D’Aniello; Andreas Ott; A. Basçhirotto","Electromagnetic Compatibility and Noise Suppression","71","6","3021","3025"
